CATEG_COD,SUBCAT_COD,ITEMS,W_STAT,P_VALUE,NORMAL
BABY,TOWELS,9,0.9244,1.0000,Yes
BALLOONS,18LICENSED,23,0.9767,0.9494,Yes
BALLOONS,BOUQUETS,15,0.9201,0.1110,Yes
BALLOONS,JUMBOLICEN,14,0.9224,0.1627,Yes
BALLOONS,PREINFLATE,8,0.9707,1.0000,Yes
BALLOONS,SEASONAL,3,0.9998,1.0000,Yes
BALLOONS,SOLID,22,0.9382,0.0724,Yes
BALLOONS,VALENTINES,10,0.7573,1.0000,Yes
BALLOONS,WEIGHTS,9,0.9402,1.0000,Yes
COMFORT,ACCESSORY,3,0.9939,0.9882,Yes
COMFORT,BLANKET,21,0.9337,0.0603,Yes
COMFORT,BXUNWIND,4,0.9303,0.7915,Yes
COMFORT,FAN,7,0.9559,0.9999,Yes
COMFORT,FRAGRANCE,7,0.8244,0.9692,Yes
COMFORT,GIFT SET,11,0.9386,1.0000,Yes
COMFORT,LOTION,12,0.9149,0.1824,Yes
COMFORT,MASSAGER,13,0.9742,0.9813,Yes
COMFORT,SOAPS,23,0.9678,0.7167,Yes
COMFORT,THERAPY,18,0.9246,0.0652,Yes
COMFORT,WARMIES,3,0.7594,0.2668,Yes
DRINKWARE,32 OZ,7,0.9458,0.9996,Yes
DRINKWARE,40 OZ,26,0.9770,0.9284,Yes
DRINKWARE,ACCESSORY,14,0.9268,0.2045,Yes
ELECTRONIC,ACCESSORY,20,0.9554,0.4328,Yes
ELECTRONIC,BOXKIT,3,0.7572,0.2645,Yes
ELECTRONIC,BXCHARGE,4,0.7381,0.3662,Yes
ELECTRONIC,CHARGERS,35,0.9674,0.2736,Yes
FASHION,BADGEREEL,26,0.9556,0.2026,Yes
FASHION,BEANIE,5,0.9013,0.8509,Yes
FASHION,FOOTWEAR,8,0.7392,0.9906,Yes
FASHION,GIFT,3,0.9862,0.9482,Yes
FASHION,GLOVES,12,0.9240,0.2701,Yes
FASHION,KEYCHAIN,11,0.9314,1.0000,Yes
FASHION,LIP CARE,10,0.9808,1.0000,Yes
FASHION,SOCKS,14,0.9200,0.1429,Yes
FASHION,SUNGLASSES,14,0.9662,0.8984,Yes
FASHION,UMBRELLA,8,0.9693,1.0000,Yes
FASHION,UNDERWEAR,5,0.9227,0.8996,Yes
FASHION,WALLET,11,0.8795,1.0000,Yes
FASHION,WRISTLET,4,0.9607,0.9049,Yes
GAMES,BALLS,4,0.6540,0.2794,Yes
GAMES,BOXKIT,5,0.8761,0.7936,Yes
GAMES,BXNIGHT,6,0.7813,0.7983,Yes
GAMES,BXSLOTH,3,0.8730,0.4524,Yes
GAMES,PUZZLEBOOK,4,0.9314,0.7952,Yes
GAMES,STRESS,5,0.8015,0.6400,Yes
GIFT BAG,BASKET BOX,6,0.7874,0.8069,Yes
GIFT BAG,BOXKIT,9,0.8142,1.0000,Yes
GIFT BAG,TISSUE,7,0.9707,1.0000,Yes
GIFTS,BOOKS,8,0.8314,0.9987,Yes
GIFTS,CANDLES,10,0.7616,1.0000,Yes
GIFTS,FLOWERS,22,0.9654,0.6667,Yes
GIFTS,GIFTS,16,0.9375,0.2497,Yes
GIFTS,ORNAMENT,9,0.9172,1.0000,Yes
GIFTS,THERAPY,5,0.9180,0.8891,Yes
GREETCARD,ANNIVERSRY,15,0.9120,0.0677,Yes
GREETCARD,BLANK,52,0.9773,0.3220,Yes
GREETCARD,CHRISTMAS,5,0.8244,0.6838,Yes
GREETCARD,EASTER,17,0.9335,0.1596,Yes
GREETCARD,FUNNY,10,0.9288,1.0000,Yes
GREETCARD,GOODBYE,4,0.9975,0.9999,Yes
GREETCARD,GRADUATION,10,0.9141,1.0000,Yes
GREETCARD,RETIREMENT,7,0.7404,0.9141,Yes
GREETCARD,SUPPORT,8,0.9562,1.0000,Yes
GREETCARD,WEDDING,11,0.8682,1.0000,Yes
HBA,BXPAMPER,4,0.8112,0.4774,Yes
HBA,CLOTHING,12,0.9023,0.1040,Yes
HBA,EYE,6,0.8871,0.9416,Yes
HBA,FIRSTAID,4,0.9058,0.7085,Yes
HBA,HAIR,27,0.9502,0.0869,Yes
HBA,HBA,3,0.9975,0.9985,Yes
HBA,LIPCARE,14,0.9359,0.3216,Yes
HBA,LOTION,9,0.8404,1.0000,Yes
HBA,MISC,9,0.9295,1.0000,Yes
HBA,NAIL,10,0.9280,1.0000,Yes
